世代,0,1,2,3,4,5,6,7,8,9
84,7471.762003285257,7591.861359401651,7012.292550158653,8949.926223492987,6004.420705461699,12136.996016858078,11223.44273331357,15075.063636707651,9959.68969195439,11467.741671425087
85,7471.762003285257,7591.861359401651,7012.292550158653,8949.926223492987,6004.420705461699,12114.891718361205,9788.918248459235,14714.665787457281,9618.530852756157,11467.741671425087
86,7471.762003285257,7591.861359401651,7012.292550158653,8949.926223492987,6004.420705461699,12114.891718361205,9356.454045439534,14714.665787457281,9618.530852756157,11467.741671425087
87,7471.762003285257,7591.861359401651,7012.292550158653,8949.926223492987,5651.45626901165,10571.748474219545,9356.454045439534,10961.069724172163,9049.886716953819,11467.741671425087
88,7471.762003285257,6425.408851052491,7012.292550158653,8949.926223492987,5651.45626901165,10571.748474219545,9356.454045439534,10961.069724172163,9049.886716953819,11467.741671425087
89,7471.762003285257,6425.408851052491,7012.292550158653,8949.926223492987,5651.45626901165,7067.519299820981,9356.454045439534,10888.971800745852,9049.886716953819,11467.741671425087
90,7471.762003285257,6425.408851052491,7012.292550158653,8949.926223492987,5651.45626901165,7067.519299820981,9356.454045439534,10888.971800745852,9049.886716953819,11467.741671425087
91,7471.762003285257,6425.408851052491,7012.292550158653,8949.926223492987,5651.45626901165,7067.519299820981,9356.454045439534,9307.480590598481,9049.886716953819,11467.741671425087
92,7471.762003285257,6425.408851052491,7012.292550158653,8949.926223492987,5651.45626901165,7067.519299820981,9356.454045439534,9307.480590598481,9049.886716953819,11467.741671425087
93,7471.762003285257,6096.366885701511,7012.292550158653,8949.926223492987,5651.45626901165,7067.519299820981,9356.454045439534,9307.480590598481,9049.886716953819,11467.741671425087
94,7471.762003285257,6096.366885701511,7012.292550158653,8949.926223492987,5651.45626901165,7067.519299820981,9356.454045439534,9307.480590598481,9049.886716953819,11467.741671425087
95,7471.762003285257,6096.366885701511,5186.171678666874,8949.926223492987,5651.45626901165,7067.519299820981,9356.454045439534,9307.480590598481,9049.886716953819,11467.741671425087
96,7471.762003285257,6096.366885701511,5186.171678666874,8949.926223492987,5651.45626901165,7067.519299820981,9356.454045439534,9307.480590598481,9049.886716953819,11467.741671425087
97,7471.762003285257,6096.366885701511,5186.171678666874,8949.926223492987,5651.45626901165,7067.519299820981,9356.454045439534,9307.480590598481,9049.886716953819,10436.243980195073
98,7471.762003285257,6096.366885701511,5186.171678666874,7334.296391084126,5651.45626901165,7067.519299820981,9356.454045439534,9307.480590598481,9049.886716953819,10436.243980195073
99,7471.762003285257,6096.366885701511,5186.171678666874,7334.296391084126,5651.45626901165,7067.519299820981,9356.454045439534,9307.480590598481,9049.886716953819,10436.243980195073
100,7471.762003285257,6096.366885701511,5186.171678666874,7225.90616717678,5651.45626901165,7067.519299820981,9356.454045439534,9307.480590598481,9049.886716953819,10436.243980195073
101,7471.762003285257,6096.366885701511,5186.171678666874,7225.90616717678,5651.45626901165,7067.519299820981,9356.454045439534,9307.480590598481,7996.898646480614,10436.243980195073
102,7010.036539171696,6096.366885701511,5186.171678666874,7225.90616717678,5651.45626901165,7067.519299820981,9356.454045439534,9307.480590598481,7996.898646480614,10436.243980195073
103,7010.036539171696,6096.366885701511,5186.171678666874,7225.90616717678,5651.45626901165,7067.519299820981,9356.454045439534,7995.603372899434,7996.898646480614,10436.243980195073
104,6187.452724385084,6096.366885701511,5186.171678666874,7225.90616717678,5651.45626901165,7067.519299820981,9356.454045439534,7995.603372899434,7996.898646480614,10436.243980195073
105,6187.452724385084,6096.366885701511,5186.171678666874,5171.201487568647,5651.45626901165,7067.519299820981,9356.454045439534,7995.603372899434,7996.898646480614,10436.243980195073
